Number of path segments
0
Mode x y z pmod param
1 0.14 0.00475 0.07500000 0 3.0 
0 0.02 0.00475 0.07500000 1 0.003935
1 0.14 0.00775 0.07500000 0 18.0
0 0.02 0.00775 0.07500000 1 0.003935
1 0.02 0.00775 0.07500000 0 15.0
1 0.02 0.00775 0.07656250 0 3.0 
0 0.14 0.00775 0.07656250 1 0.003935
1 0.02 0.00475 0.07656250 0 18.0
0 0.14 0.00475 0.07656250 1 0.003935
1 0.14 0.00475 0.07656250 0 15.0
1 0.14 0.00475 0.07812500 0 3.0 
0 0.02 0.00475 0.07812500 1 0.003935
1 0.14 0.00775 0.07812500 0 18.0
0 0.02 0.00775 0.07812500 1 0.003935
1 0.02 0.00775 0.07812500 0 15.0
1 0.02 0.00775 0.07968750 0 3.0 
0 0.14 0.00775 0.07968750 1 0.003935
1 0.02 0.00475 0.07968750 0 18.0
0 0.14 0.00475 0.07968750 1 0.003935
1 0.14 0.00475 0.07968750 0 15.0
1 0.14 0.00475 0.08125000 0 3.0 
0 0.02 0.00475 0.08125000 1 0.003935
1 0.14 0.00775 0.08125000 0 18.0
0 0.02 0.00775 0.08125000 1 0.003935
1 0.02 0.00775 0.08125000 0 15.0
1 0.02 0.00775 0.08281250 0 3.0 
0 0.14 0.00775 0.08281250 1 0.003935
1 0.02 0.00475 0.08281250 0 18.0
0 0.14 0.00475 0.08281250 1 0.003935
1 0.14 0.00475 0.08281250 0 15.0
1 0.14 0.00475 0.08437500 0 3.0 
0 0.02 0.00475 0.08437500 1 0.003935
1 0.14 0.00775 0.08437500 0 18.0
0 0.02 0.00775 0.08437500 1 0.003935
1 0.02 0.00775 0.08437500 0 15.0
1 0.02 0.00775 0.08593750 0 3.0 
0 0.14 0.00775 0.08593750 1 0.003935
1 0.02 0.00475 0.08593750 0 18.0
0 0.14 0.00475 0.08593750 1 0.003935
1 0.14 0.00475 0.08593750 0 15.0
1 0.14 0.00475 0.08750000 0 3.0 
0 0.02 0.00475 0.08750000 1 0.003935
1 0.14 0.00775 0.08750000 0 18.0
0 0.02 0.00775 0.08750000 1 0.003935
